Sample Data,2022 07 02 09_51
AIM Version,11.0.1
Classifier Model,3082,Classifier S/N,3082001809001,Classifier Firmware Version,2.3
Neutralizer Model,3088,Neutralizer S/N,
Impactor (cm),None,Impactor S/N,
DMA Model,3081,DMA S/N,
DMA Inner Radius (cm),0.9369999999999999
DMA Outer Radius (cm),1.9609999999999999
DMA Characteristic Length (cm),44.369
Detector Model,3750,Detector S/N,3750180803,Nano Enhancer,NONE
Detector Sample Flow (L/min),1,Detector Inlet Flow (L/min),1
Reference Gas Viscosity (Pa*s),1.832450e-5
Reference Mean Free Path (m),6.730000e-8
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),38.40
Tube Diameter (cm),0.48
Channels/Decade,128
Multiple Charge Correction,true
Nanoparticle Agglomerate Mobility Analysis,FALSE
DiffusionCorrection,true
Units,dW/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),20.72,21.10,21.48,21.87,22.27,22.67,23.08,23.50,23.93,24.36,24.80,25.25,25.71,26.18,26.66,27.14,27.63,28.13,28.64,29.16,29.69,30.23,30.78,31.34,31.91,32.49,33.08,33.68,34.29,34.91,35.55,36.19,36.85,37.52,38.20,38.89,39.60,40.32,41.05,41.79,42.55,43.32,44.11,44.91,45.73,46.56,47.40,48.26,49.14,50.03,50.94,51.86,52.80,53.76,54.74,55.73,56.74,57.77,58.82,59.89,60.98,62.08,63.21,64.36,65.52,66.71,67.93,69.16,70.41,71.69,72.99,74.32,75.67,77.04,78.44,79.86,81.31,82.79,84.29,85.82,87.38,88.96,90.58,92.22,93.90,95.60,97.34,99.10,100.90,102.74,104.60,106.50,108.43,110.40,112.40,114.44,116.52,118.64,120.79,122.98,125.21,127.49,129.80,132.16,134.56,137.00,139.49,142.02,144.60,147.22,149.89,152.61,155.38,158.20,161.08,164.00,166.98,170.01,173.09,176.24,179.43,182.69,186.01,189.38,192.82,196.32,199.89,203.51,207.21,210.97,214.80,218.70,222.67,226.71,230.82,235.01,239.28,243.62,248.05,252.55,257.13,261.80,266.55,271.39,276.32,281.33,286.44,291.64,296.93,302.32,307.81,313.40,319.08,324.88,330.77,336.78,342.89,349.12,355.45,361.90,368.47,375.16,381.97,388.91,395.96,403.15,410.47,417.92,425.51,433.23,441.09,449.10,457.25,465.55,474.00,482.61,491.37,500.29,509.37,518.61,528.03,537.61,547.37,557.31,567.42,577.72,588.21,598.89,609.76,620.82,632.09,643.57,655.25,667.14,679.25,691.58,704.14,716.92,729.93,743.18,756.67,770.40,784.39,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,HV Polarity,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Neutralizer Status,Dilution Factor,Test Name,Test Description,Dataset Name,Dataset Description,Instrument Errors
1,07/02/2022,08:49:29,23.4,100.9,64.7,6.76829e-8,1.83436e-5,,3805.662,3102.979,2694.905,2861.556,5298.854,4420.538,4400.609,4935.585,3172.778,3111.007,2995.672,1739.829,3701.369,3802.453,2644.786,3596.612,4945.031,3662.661,5202.050,3389.045,3995.466,2972.286,2864.958,3550.470,3154.210,5739.372,3290.731,5233.228,4956.016,3370.204,4116.567,5015.313,5048.302,3785.632,4670.375,4551.769,5388.944,4102.932,4923.487,4926.196,4210.639,5195.203,5242.926,6639.890,5397.259,5944.454,4213.237,3907.497,3442.885,4155.858,3738.883,4135.091,2946.435,3681.191,3176.381,3142.607,1821.654,2842.837,2364.230,2550.242,1900.151,1764.082,2287.752,1961.162,1751.667,1375.176,1216.345,1526.946,1870.556,1667.542,1513.770,1407.534,1683.130,1336.779,1346.209,577.121,1307.685,1813.413,823.181,921.639,1393.060,1552.624,770.349,967.010,853.352,434.177,844.603,822.501,809.331,1132.172,1233.387,1408.795,526.606,1108.490,590.985,554.998,583.236,1178.384,265.437,785.680,1224.149,1113.497,1015.682,621.144,885.181,542.425,481.721,1000.052,1033.837,530.623,417.356,660.726,333.451,885.918,946.121,947.396,497.151,253.228,1387.962,534.261,767.629,622.696,974.443,828.812,667.647,673.440,420.594,756.302,886.098,62.788,974.267,790.755,361.211,747.828,1242.162,833.659,856.102,970.507,409.361,203.523,400.945,231.190,318.258,474.712,150.054,351.379,706.662,854.581,415.219,416.359,475.333,0.000,0.000,0.000,477.801,33.452,51.038,0.000,395.775,164.917,0.000,121.180,124.701,126.963,364.305,298.677,400.001,318.261,0.000,0.000,0.000,299.992,297.226,261.341,519.418,678.348,98.676,398.049,200.728,0.000,0.000,205.963,103.878,209.576,154.792,377.053,894.096,1160.331,876.077,1086.066,353.461,939.086,527.874,458.036,346.616,119.147,187.626,638.912,479.034,1563.079,1558.533,2249.076,992.967,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,44.014,94.966,55.960,44.910,2.361,2.66426e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
2,07/02/2022,08:51:00,23.6,100.9,64.0,6.77409e-8,1.83531e-5,,3430.953,3564.638,3443.787,2907.762,5169.157,2445.753,3440.757,2552.190,3218.923,2373.062,4203.036,4333.243,3069.893,4065.637,3465.331,2523.164,3350.027,2741.479,3315.715,4757.576,4055.286,3416.597,4154.394,2562.493,3830.351,2438.210,2606.764,2323.349,2861.135,3053.737,2066.194,3219.759,3221.612,3997.064,2832.953,5979.225,5021.655,3217.490,3744.800,3092.985,3746.461,3718.428,2862.839,2540.771,2460.283,2598.282,3575.362,2777.818,3574.474,2991.341,4226.838,2981.736,2932.479,2909.490,3324.423,2268.695,3086.252,1983.894,1937.208,1946.803,2202.801,1521.271,2083.647,2446.216,1905.999,1485.992,1953.662,1771.367,1210.378,1075.177,1624.644,863.988,1180.183,970.543,1613.919,1213.436,1565.029,1170.884,1048.574,1223.949,1222.889,897.758,670.893,479.511,1171.004,418.397,1330.783,965.007,464.242,822.180,458.533,672.533,1504.535,916.030,1673.584,1050.709,769.133,689.886,337.778,917.847,1174.698,963.971,0.000,184.746,799.071,644.316,1021.318,958.264,815.412,708.211,805.739,864.746,856.641,878.636,564.091,734.149,1044.996,363.411,762.174,734.497,0.000,569.827,682.404,609.466,867.282,696.028,1704.403,425.386,583.929,77.610,474.669,623.413,769.239,736.167,399.559,499.709,955.138,38.984,740.530,98.326,938.716,1081.957,533.387,1009.136,383.140,289.161,927.485,241.279,139.282,468.962,819.025,733.589,321.744,409.193,704.022,323.174,443.646,2.851,53.821,275.786,417.924,864.910,606.005,381.489,277.343,418.814,168.923,40.417,0.000,118.358,0.000,487.008,190.941,481.275,582.315,293.593,359.921,222.261,313.141,101.237,0.000,102.994,153.530,264.333,260.335,420.230,925.101,434.231,328.567,884.059,178.854,382.015,227.008,458.090,0.000,582.963,117.644,712.243,718.634,725.090,243.871,492.134,447.810,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,44.701,93.177,57.106,38.891,2.357,2.29682e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
3,07/02/2022,08:52:30,23.8,100.9,64.2,6.77989e-8,1.83627e-5,,2837.128,4151.388,5385.256,4676.130,8915.434,6241.478,4521.154,3741.225,1794.818,3169.706,2246.081,851.954,3517.140,3787.873,3089.871,5626.270,3042.335,3589.625,3031.370,2842.933,3537.425,1612.019,2439.880,3199.626,2868.492,3015.704,2675.552,2437.481,3977.708,3050.585,3783.015,2665.162,3363.828,4414.898,3918.603,3982.550,4006.680,3898.320,4074.915,3246.386,3617.667,3893.827,4910.603,2676.116,2005.105,3596.604,3828.234,4273.218,3451.793,4603.365,4779.288,2191.621,3068.939,2686.584,2661.778,1853.095,2517.903,1896.199,2206.870,1639.630,1800.091,1055.245,2215.066,1001.101,1801.458,793.531,1372.798,1432.995,1590.402,1596.902,1162.374,1498.312,997.225,577.005,1031.404,755.041,879.477,469.761,1059.483,1034.163,592.537,1403.697,737.559,908.856,672.384,690.727,517.139,918.720,1381.930,799.401,1202.940,1372.102,1300.856,860.242,920.980,377.280,463.005,171.938,369.601,675.321,974.606,626.654,882.407,405.565,799.715,715.068,1595.358,1188.273,625.043,1387.803,1432.835,1175.317,478.834,567.784,0.000,414.842,1158.785,503.254,533.743,723.288,1332.066,1447.750,1078.795,786.510,636.950,358.659,860.157,827.340,1020.221,657.199,354.687,0.000,552.988,617.282,484.063,78.610,172.824,528.553,188.164,804.930,819.712,618.399,573.591,942.615,322.200,448.954,556.400,0.000,0.000,489.353,74.186,112.824,302.446,0.000,375.334,470.255,982.265,337.379,713.102,419.212,389.286,157.917,385.308,253.030,331.351,137.879,1008.154,0.000,0.000,153.799,250.228,239.109,190.964,163.883,417.146,721.260,717.846,1018.620,414.016,506.243,306.358,765.262,474.906,419.262,422.927,213.330,107.616,325.711,219.070,221.036,334.513,337.522,113.517,229.072,0.000,235.791,422.997,282.882,239.572,725.174,575.405,526.843,248.295,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,43.447,89.567,54.934,22.267,2.351,2.33426e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
4,07/02/2022,08:54:01,23.8,100.9,64.5,6.77989e-8,1.83627e-5,,4416.430,1824.450,3684.504,4082.066,3285.739,6211.046,3690.575,2917.394,2451.487,2551.224,2280.263,2212.465,5745.179,3334.909,3272.591,2131.761,2792.275,2077.722,1982.970,2637.985,4074.414,4104.999,3477.324,3576.549,3522.795,3079.129,3406.999,2861.263,3388.750,6067.039,4106.131,4578.258,4258.781,4632.387,4699.963,6021.268,5331.730,4504.993,5099.969,3937.245,2730.636,4905.740,3974.909,4161.905,5113.335,5347.898,5837.653,4392.352,4190.353,4242.013,2571.431,3469.938,3271.683,3264.354,2300.829,2959.308,3191.987,2014.727,2150.049,2621.948,2651.703,2874.192,1662.247,1269.304,1091.093,746.349,1111.840,1575.094,1336.092,1445.093,821.469,559.967,647.406,583.945,717.950,922.727,441.874,1002.554,573.448,256.530,601.215,836.180,894.316,647.603,740.058,720.163,442.110,771.900,562.435,677.531,748.327,521.336,176.257,882.443,668.438,464.973,694.358,595.502,872.927,990.802,1570.482,837.148,1084.317,679.891,362.798,226.593,1023.790,702.265,546.090,601.047,234.993,451.493,718.940,205.628,841.513,660.256,818.504,361.151,206.404,285.692,262.356,553.921,180.029,52.857,411.462,119.335,0.000,206.198,601.385,290.554,487.137,491.299,137.224,811.339,768.957,377.317,275.698,283.268,532.653,0.000,537.756,335.415,54.475,1029.185,1017.689,728.338,245.259,446.669,0.000,358.654,878.654,1029.390,1111.028,610.223,335.224,137.328,354.758,637.005,530.947,504.234,970.436,323.897,492.364,507.872,300.570,488.358,381.285,197.566,202.039,530.362,624.204,982.139,763.870,741.476,708.340,489.388,197.398,982.997,414.016,529.291,385.231,206.012,257.192,579.071,422.927,319.990,430.464,345.296,308.841,442.073,401.827,421.274,414.560,458.143,231.131,583.031,307.941,757.766,292.950,792.180,121.950,123.042,124.147,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,43.289,91.981,55.163,22.671,2.355,2.39473e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
5,07/02/2022,08:55:31,23.6,100.9,64.7,6.77409e-8,1.83531e-5,,1308.991,4318.037,2696.419,1717.415,2615.831,3476.905,4810.886,3074.906,2323.625,1775.468,2809.064,2239.786,1702.691,2967.118,2065.379,1561.292,2440.050,2217.095,1401.180,705.891,4083.942,2189.895,2923.665,2999.187,2486.062,2181.963,1692.810,2536.619,3459.495,2733.232,2255.843,3826.516,2853.848,3227.978,2911.796,3090.642,3310.046,3400.324,4550.178,3019.656,3495.393,3777.038,3389.471,3848.146,3440.345,5274.230,3525.074,3782.611,3568.854,2929.720,3234.280,3448.340,3166.595,2508.026,2837.726,2616.731,1701.372,2552.132,2364.225,2964.815,2650.309,3725.162,3010.700,2307.477,1606.922,1419.583,1671.726,682.010,1380.228,1457.671,675.027,678.949,920.526,1169.432,1851.813,1636.008,1745.664,1141.898,705.362,266.469,558.425,885.765,1750.357,1791.180,1666.199,1770.865,1426.882,978.508,730.393,890.669,1498.721,1191.652,1939.528,1072.117,623.794,997.310,760.280,399.998,1016.903,1050.685,760.111,1298.478,838.465,1315.080,769.341,616.888,151.963,893.459,965.917,0.000,634.901,1274.975,790.392,134.750,754.707,758.173,549.943,926.268,395.667,784.865,1084.693,1232.162,1532.357,748.652,497.975,507.751,601.184,765.967,222.602,638.549,1697.730,1554.690,1233.364,1374.127,1833.864,1152.365,848.458,1006.343,1251.638,603.115,810.265,749.057,954.746,556.268,1173.673,736.164,533.297,610.476,66.713,324.661,515.869,386.590,153.925,172.255,172.670,434.636,442.115,69.026,254.294,262.955,236.049,39.196,0.000,94.233,71.469,41.102,0.000,151.755,0.000,235.614,138.861,76.153,95.471,96.255,194.107,195.732,0.000,99.524,200.751,202.474,0.000,0.000,465.201,159.530,317.158,213.305,322.811,217.115,440.421,108.153,111.491,0.000,113.504,343.567,115.552,0.000,235.283,118.707,0.000,0.000,121.935,21.652,102.288,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,48.605,85.063,59.094,46.555,2.165,2.15756e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
6,07/02/2022,08:57:02,23.5,100.9,64.7,6.77119e-8,1.83484e-5,,4181.062,3230.678,1627.120,3530.055,2229.402,1620.399,2101.056,1437.331,1720.349,4807.754,5498.276,4710.383,1452.485,2326.946,4139.079,3167.960,2204.799,2873.466,3886.047,4237.479,3867.673,4583.776,3038.694,919.127,3158.652,2051.336,2363.013,5443.348,4820.417,2070.414,3153.641,3545.755,4582.860,2836.238,3418.014,4606.589,2520.588,2778.089,2953.954,1694.545,2743.405,2768.884,2630.147,3606.352,2550.791,4292.304,2194.670,2664.769,3103.611,2292.041,4375.632,2759.343,3097.559,2567.436,2100.892,963.455,2240.787,1801.232,1650.018,1820.680,2037.297,1887.833,2437.260,1912.695,1424.670,1290.586,1189.900,1306.672,1018.461,2473.760,1419.922,1375.691,395.317,1411.275,1090.969,1385.414,4414.660,2965.659,1708.608,1166.349,1099.319,347.361,661.616,562.726,330.358,436.370,653.041,1083.472,592.002,583.451,889.154,209.416,386.387,392.612,1059.585,893.547,817.079,1136.167,523.835,1294.672,364.526,563.182,658.154,898.392,1288.925,1207.825,743.436,689.512,1712.404,362.257,929.912,632.696,1134.362,736.190,927.679,869.122,143.652,310.296,656.285,421.348,716.619,271.398,859.230,822.279,1119.809,742.156,916.999,600.154,877.044,723.408,445.213,0.000,402.552,367.081,502.349,215.135,338.143,327.597,1083.907,1150.447,553.876,745.766,412.215,668.260,0.000,407.326,532.155,476.791,87.393,0.000,0.000,540.557,433.993,50.592,517.082,221.239,147.655,125.489,507.777,513.337,752.391,549.595,138.547,609.563,371.797,512.469,35.646,0.000,0.000,46.607,0.000,322.627,202.149,384.997,485.238,587.157,493.409,784.456,614.012,630.977,1135.248,169.749,257.534,264.188,105.713,319.939,430.389,542.751,328.548,533.610,353.519,489.169,641.422,572.579,231.085,699.521,117.638,21.820,696.589,390.793,703.047,492.105,248.252,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,45.889,97.386,58.872,24.805,2.393,2.17045e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
7,07/02/2022,08:58:33,23.5,100.9,64.0,6.77119e-8,1.83484e-5,,1278.819,2246.019,3242.224,2297.980,2288.061,2425.699,2150.790,3020.146,4384.059,2527.554,1604.063,2781.670,1457.944,6250.703,3831.138,2320.389,2094.457,960.858,648.894,2726.243,1558.175,2368.562,2357.304,1922.020,1647.309,3418.429,3802.041,1432.127,2393.024,2059.349,2610.481,1965.397,2989.539,2927.825,2161.749,3673.796,3337.195,2875.436,3093.544,2975.483,1700.776,2670.087,3611.822,2361.048,4199.377,3242.918,1964.510,3273.153,2955.654,2737.968,1929.094,2560.188,2132.438,2139.761,1131.424,2115.057,941.699,1086.317,1799.009,1623.410,1633.888,1430.202,1091.261,1072.266,1024.675,1078.158,1028.584,1982.381,993.379,1691.109,1133.766,798.508,887.111,451.146,570.903,835.685,2050.087,2054.068,1515.721,1418.826,1308.063,974.879,1442.757,744.157,973.249,891.096,1015.536,1013.475,1246.255,923.954,937.753,918.437,259.696,255.268,555.269,585.981,1052.483,483.660,829.864,448.390,1075.172,953.847,792.187,1161.229,395.657,560.871,292.421,677.285,1031.343,609.530,1112.298,530.573,496.629,394.476,444.139,1240.503,1010.645,497.190,1316.561,1040.025,591.288,688.438,40.148,435.915,552.507,729.310,770.205,1120.411,827.149,949.878,852.274,1022.485,392.967,448.965,692.556,660.205,1676.828,1003.836,653.083,867.343,461.750,598.825,299.076,873.062,149.593,831.304,823.656,1067.661,532.348,895.291,754.998,737.387,532.687,75.223,147.038,420.359,341.116,584.648,640.773,489.165,535.889,419.871,289.804,84.095,358.548,312.669,0.000,0.000,239.766,173.708,51.065,76.878,190.930,96.249,0.000,0.000,98.682,199.036,100.370,404.923,510.506,102.988,311.652,314.391,366.130,526.837,494.574,108.551,219.032,220.998,111.485,112.490,0.000,114.516,0.000,0.000,0.000,356.101,119.765,120.841,365.785,246.053,620.629,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,47.182,95.072,60.960,26.180,2.343,1.88066e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
8,07/02/2022,09:00:03,23.8,100.9,63.5,6.77989e-8,1.83627e-5,,1257.387,979.664,1719.556,2314.430,1678.667,2245.291,2827.416,3142.730,3165.905,2390.218,2085.676,1353.114,1292.007,2112.587,1830.465,1636.490,3702.244,2756.201,5476.173,2853.340,3056.533,2412.360,2275.874,2824.818,1994.409,2813.053,2492.832,2689.499,2645.392,2815.421,2561.935,2121.683,1638.174,2186.084,2415.917,2251.287,2255.652,2037.662,2443.374,2049.997,1839.149,2692.264,2166.650,2311.098,2205.744,2043.204,2521.432,2043.473,2176.718,1981.919,1243.228,2316.790,1825.755,2292.220,1333.341,1875.560,2970.127,2858.156,2015.376,1985.067,879.496,1944.247,3094.097,1254.322,1614.570,1021.085,1337.198,586.444,1574.243,769.480,658.413,1145.152,622.535,893.106,827.005,625.864,514.227,1117.593,405.375,898.088,935.987,1364.352,720.010,469.002,879.470,752.022,1449.365,1248.029,591.324,429.256,621.396,580.699,968.363,979.364,522.040,362.480,715.375,841.951,531.126,119.264,524.291,189.412,0.000,230.791,539.330,1279.979,1065.281,860.220,874.700,697.802,834.219,857.221,937.063,310.350,412.266,370.395,452.471,0.000,0.000,760.058,540.195,684.631,248.521,833.803,566.562,1035.980,1006.409,772.625,520.926,292.116,790.184,535.711,575.583,169.205,805.975,872.689,636.147,370.477,898.259,860.351,1070.360,434.571,1003.398,660.297,1531.526,519.466,448.041,369.324,573.579,0.000,0.000,163.649,0.000,270.313,359.059,501.792,417.127,142.087,0.000,0.000,225.288,0.000,0.000,0.000,290.734,173.756,0.000,301.945,0.000,173.748,141.134,62.284,572.891,385.065,296.631,324.272,323.049,632.837,207.882,1129.615,793.708,309.018,831.218,314.446,634.390,319.995,248.327,420.484,861.006,548.078,1070.848,1057.172,234.022,565.623,577.828,116.600,0.000,712.326,0.000,241.725,365.849,246.096,496.590,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,48.273,109.210,63.746,28.644,2.517,1.74411e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Sheath flow error;Detector aerosol flow rate error;Incomplete Scan
9,07/02/2022,09:01:34,23.8,100.9,63.8,6.77989e-8,1.83627e-5,,2490.663,3114.056,2071.022,2681.058,3049.954,5275.402,2267.043,2795.104,5997.138,6090.523,3908.570,1977.320,3033.216,3789.446,4523.435,4476.552,5095.196,4165.315,4681.038,3283.625,4810.068,2422.611,3817.379,3536.916,5301.996,3934.298,3293.066,3127.293,3542.541,2260.441,4286.295,4052.815,4458.686,5025.245,4117.344,3931.422,5102.805,3875.368,3243.099,3234.760,3768.076,2500.484,3436.573,2683.805,2854.156,2453.865,1545.961,1875.145,2670.668,2353.345,2438.626,2099.462,1734.484,3269.635,2274.179,3215.889,1256.027,1873.169,2935.624,1653.273,1343.010,1339.112,1738.100,1313.367,1486.322,1778.283,1630.629,1524.222,2308.657,1610.061,1901.780,1419.391,1293.586,2017.160,1255.442,894.790,982.514,534.425,1062.098,425.897,934.495,828.632,454.108,830.786,492.697,614.948,338.997,1091.859,553.379,479.815,321.891,695.259,617.898,389.966,576.995,593.430,212.247,839.753,93.157,725.859,894.855,400.976,287.032,144.641,549.311,1327.732,1382.945,1208.288,1508.249,955.556,782.334,1241.930,987.692,847.152,303.592,712.658,412.442,886.896,584.954,1026.538,515.093,261.078,696.956,635.725,0.000,630.388,824.392,601.015,1038.274,453.278,409.432,434.563,479.840,659.478,309.683,579.627,0.000,467.246,459.503,571.826,924.322,3.434,209.819,0.000,492.970,0.000,383.322,0.000,402.716,83.408,323.644,1176.757,250.041,146.250,0.000,308.577,462.565,365.192,185.889,151.024,701.187,51.440,102.982,181.889,369.115,529.691,212.395,130.486,397.691,527.008,1110.648,523.226,411.296,423.073,1102.051,288.151,458.173,433.766,803.100,630.539,589.465,559.245,628.200,264.625,577.364,164.195,215.232,108.570,109.535,110.518,513.332,269.607,340.551,229.072,115.566,349.819,235.316,118.721,958.290,0.000,297.163,69.304,248.295,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,40.499,87.592,53.664,24.362,2.328,2.26079e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
